Bairro,Vizinho,Logradouro,Tipo,Peso,Tipo Normalizado,Id Rua
Córrego do Jenipapo,Guabiraba,Avenida da Redenção,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/128677005
Macaxeira,Nova Descoberta,Rua Ida Maria,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222816832
Macaxeira,Apipucos,Rua Maria Cândida,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/243741218
Nova Descoberta,Vasco da Gama,Rua Alto da Brasileira,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/377690522
Nova Descoberta,Brejo da Guabiraba,Rua Piraju,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/377690524
Nova Descoberta,Brejo de Beberibe,Primeira Subida da Brasileira,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/656094018
Vasco da Gama,Brejo de Beberibe,Rua Santa Maria Goretti,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222819875
Apipucos,Dois Irmãos,Rua Jorge Tasso Neto,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/203167206
Dois Irmãos,Sítio dos Pintos,Rua Professor Cláudio Selva,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/466145232
Dois Irmãos,Guabiraba,Estrada dos Pintos,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/249468019
Sítio dos Pintos,Guabiraba,Rua Manuel de Medeiros,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/764063550
Brejo da Guabiraba,Brejo de Beberibe,Rua Arca de Noe,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/776574491
Brejo da Guabiraba,Passarinho,Avenida Vereador Otacílio Azevedo,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/317411942
Brejo da Guabiraba,Guabiraba,Rua Santa Tereza,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/547104304
Brejo de Beberibe,Dois Unidos,Rua Doutor Antônio da Rosa Borges,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/966805041
Brejo de Beberibe,Passarinho,Rua Só Nós Dois,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/222822274
Dois Unidos,Passarinho,Avenida Hildebrando de Vasconcelos,tertiary,1.8,Rua de ligação / Coletora local,https://openstreetmap.org/way/857404822
Passarinho,Guabiraba,Rua Vargem linda,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/766881851
Guabiraba,Pau-Ferro,Estrada da Mumbeca,secondary,1.5,Avenida secundária	,https://openstreetmap.org/way/1151055913
Pau-Ferro,Aldeia,Rua Evaristo da Veiga,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/713731326
Aldeia,Oitenta,Estrada Pau de Ferro,residential,2.0,Rua local / de bairro,https://openstreetmap.org/way/258791984
